season_end_year,fbref_player_id,fbref_squad,player,minutes,file,column,value,kaggle_column
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_standard,PrgC_Progression,8.0,Progressive Carries
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_standard,PrgP_Progression,13.0,Progressive Passes
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_standard,npxG_Expected,0.1,Exp NPG
2022,75e60d75,Sampdoria,Ronaldo Vieira,495,big5_player_standard,xG_Expected,0.1,Expected Goals
2023,4acd733a,Angers,Valery,2497,big5_player_defense,Clr,82.0,Clearances
2023,4acd733a,Angers,Valery,2497,big5_player_defense,Err,0.0,Errors made
2023,4acd733a,Angers,Valery,2497,big5_player_defense,Pass_Blocks,20.0,Passes blocked
2023,4acd733a,Angers,Valery,2497,big5_player_defense,Sh_Blocks,15.0,Shots blocked
2023,4acd733a,Angers,Valery,2497,big5_player_defense,Tkl_Tackles,54.0,Tackles attempted
2023,4acd733a,Angers,Valery,2497,big5_player_misc,Won_percent_Aerial,62.7,% Aerial Duels won
2023,4acd733a,Angers,Valery,2497,big5_player_possession,Att_Take,69.0,Take ons attempted
2023,4acd733a,Angers,Valery,2497,big5_player_possession,CPA_Carries,6.0,carries penalty area
2023,4acd733a,Angers,Valery,2497,big5_player_possession,Def Pen_Touches,112.0,touches_def_pen
2023,4acd733a,Angers,Valery,2497,big5_player_possession,Dis_Carries,31.0,Possessions lost
2023,4acd733a,Angers,Valery,2497,big5_player_possession,Final_Third_Carries,71.0,carries final 3rd
2023,4acd733a,Angers,Valery,2497,big5_player_possession,PrgC_Carries,72.0,carries_prgc
2023,4acd733a,Angers,Valery,2497,big5_player_possession,Succ_percent_Take,47.8,% Successful take-ons
2023,4acd733a,Angers,Valery,2497,big5_player_shooting,npxG_Expected,0.8,Exp NPG
2023,4acd733a,Angers,Valery,2497,big5_player_shooting,xG_Expected,0.8,Expected Goals
2023,4acd733a,Angers,Valery,2497,big5_player_standard,PrgC_Progression,72.0,Progressive Carries
2023,4acd733a,Angers,Valery,2497,big5_player_standard,PrgP_Progression,84.0,Progressive Passes
2023,4acd733a,Angers,Valery,2497,big5_player_standard,npxG_Expected,0.8,Exp NPG
2023,4acd733a,Angers,Valery,2497,big5_player_standard,xG_Expected,0.8,Expected Goals
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_defense,Clr,9.0,Clearances
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_defense,Err,2.0,Errors made
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_defense,Pass_Blocks,0.0,Passes blocked
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_defense,Sh_Blocks,0.0,Shots blocked
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_defense,Tkl_Tackles,1.0,Tackles attempted
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_misc,Won_percent_Aerial,100.0,% Aerial Duels won
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_possession,Att_Take,0.0,Take ons attempted
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_possession,CPA_Carries,0.0,carries penalty area
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_possession,Def Pen_Touches,692.0,touches_def_pen
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_possession,Dis_Carries,0.0,Possessions lost
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_possession,Final_Third_Carries,0.0,carries final 3rd
2023,cce694d4,Brighton,Robert Sanchez,2070,big5_player_possession,PrgC_Carries,0.0,carries_prgc
